frame_idx,time_s,u_px,v_px,r_px,X_m,Y_m,Z_m,distance_m,Vx_m_s,Vy_m_s,Vz_m_s,V_m_s
230,7.6667,,,,,,,,,,,
231,7.7000,,,,,,,,,,,
232,7.7333,,,,,,,,,,,
233,7.7667,,,,,,,,,,,
234,7.8000,,,,,,,,,,,
235,7.8333,,,,,,,,,,,
236,7.8667,,,,,,,,,,,
237,7.9000,,,,,,,,,,,
238,7.9333,,,,,,,,,,,
239,7.9667,,,,,,,,,,,
240,8.0000,,,,,,,,,,,
241,8.0333,,,,,,,,,,,
242,8.0667,,,,,,,,,,,
243,8.1000,,,,,,,,,,,
244,8.1333,,,,,,,,,,,
245,8.1667,,,,,,,,,,,
246,8.2000,,,,,,,,,,,
247,8.2333,,,,,,,,,,,
248,8.2667,,,,,,,,,,,
249,8.3000,,,,,,,,,,,
250,8.3333,,,,,,,,,,,
251,8.3667,,,,,,,,,,,
252,8.4000,,,,,,,,,,,
253,8.4333,,,,,,,,,,,
254,8.4667,,,,,,,,,,,
255,8.5000,,,,,,,,,,,
256,8.5333,,,,,,,,,,,
257,8.5667,,,,,,,,,,,
258,8.6000,,,,,,,,,,,
259,8.6333,,,,,,,,,,,
260,8.6667,,,,,,,,,,,
261,8.7000,,,,,,,,,,,
262,8.7333,,,,,,,,,,,
263,8.7667,,,,,,,,,,,
264,8.8000,,,,,,,,,,,
265,8.8333,,,,,,,,,,,
266,8.8667,,,,,,,,,,,
267,8.9000,,,,,,,,,,,
268,8.9333,,,,,,,,,,,
269,8.9667,,,,,,,,,,,
270,9.0000,,,,,,,,,,,
271,9.0333,,,,,,,,,,,
272,9.0667,,,,,,,,,,,
273,9.1000,,,,,,,,,,,
274,9.1333,,,,,,,,,,,
275,9.1667,,,,,,,,,,,
276,9.2000,,,,,,,,,,,
277,9.2333,,,,,,,,,,,
278,9.2667,,,,,,,,,,,
279,9.3000,,,,,,,,,,,
280,9.3333,,,,,,,,,,,
281,9.3667,,,,,,,,,,,
282,9.4000,,,,,,,,,,,
283,9.4333,,,,,,,,,,,
284,9.4667,,,,,,,,,,,
285,9.5000,,,,,,,,,,,
286,9.5333,,,,,,,,,,,
287,9.5667,,,,,,,,,,,
288,9.6000,,,,,,,,,,,
289,9.6333,,,,,,,,,,,
290,9.6667,,,,,,,,,,,
291,9.7000,,,,,,,,,,,
292,9.7333,,,,,,,,,,,
293,9.7667,,,,,,,,,,,
294,9.8000,,,,,,,,,,,
295,9.8333,,,,,,,,,,,
296,9.8667,,,,,,,,,,,
297,9.9000,,,,,,,,,,,
298,9.9333,,,,,,,,,,,
299,9.9667,,,,,,,,,,,
300,10.0000,,,,,,,,,,,
301,10.0333,,,,,,,,,,,
302,10.0667,,,,,,,,,,,
303,10.1000,,,,,,,,,,,
304,10.1333,,,,,,,,,,,
305,10.1667,,,,,,,,,,,
306,10.2000,,,,,,,,,,,
307,10.2333,,,,,,,,,,,
308,10.2667,,,,,,,,,,,
309,10.3000,,,,,,,,,,,
310,10.3333,,,,,,,,,,,
311,10.3667,,,,,,,,,,,
312,10.4000,,,,,,,,,,,
313,10.4333,,,,,,,,,,,
314,10.4667,,,,,,,,,,,
315,10.5000,,,,,,,,,,,
316,10.5333,,,,,,,,,,,
317,10.5667,,,,,,,,,,,
318,10.6000,,,,,,,,,,,
319,10.6333,,,,,,,,,,,
320,10.6667,,,,,,,,,,,
321,10.7000,,,,,,,,,,,
322,10.7333,,,,,,,,,,,
323,10.7667,,,,,,,,,,,
324,10.8000,,,,,,,,,,,
325,10.8333,,,,,,,,,,,
326,10.8667,,,,,,,,,,,
327,10.9000,,,,,,,,,,,
328,10.9333,,,,,,,,,,,
329,10.9667,,,,,,,,,,,
330,11.0000,,,,,,,,,,,
331,11.0333,,,,,,,,,,,
332,11.0667,,,,,,,,,,,
333,11.1000,,,,,,,,,,,
334,11.1333,,,,,,,,,,,
335,11.1667,,,,,,,,,,,
336,11.2000,,,,,,,,,,,
337,11.2333,,,,,,,,,,,
338,11.2667,,,,,,,,,,,
339,11.3000,,,,,,,,,,,
340,11.3333,,,,,,,,,,,
341,11.3667,,,,,,,,,,,
342,11.4000,,,,,,,,,,,
343,11.4333,,,,,,,,,,,
344,11.4667,,,,,,,,,,,
345,11.5000,,,,,,,,,,,
346,11.5333,,,,,,,,,,,
347,11.5667,,,,,,,,,,,
348,11.6000,,,,,,,,,,,
349,11.6333,,,,,,,,,,,
350,11.6667,,,,,,,,,,,
351,11.7000,,,,,,,,,,,
352,11.7333,,,,,,,,,,,
353,11.7667,,,,,,,,,,,
354,11.8000,,,,,,,,,,,
355,11.8333,,,,,,,,,,,
356,11.8667,,,,,,,,,,,
357,11.9000,,,,,,,,,,,
358,11.9333,,,,,,,,,,,
359,11.9667,,,,,,,,,,,
360,12.0000,,,,,,,,,,,
361,12.0333,,,,,,,,,,,
362,12.0667,,,,,,,,,,,
363,12.1000,,,,,,,,,,,
364,12.1333,,,,,,,,,,,
365,12.1667,,,,,,,,,,,
366,12.2000,,,,,,,,,,,
367,12.2333,,,,,,,,,,,
368,12.2667,,,,,,,,,,,
369,12.3000,,,,,,,,,,,
370,12.3333,,,,,,,,,,,
371,12.3667,,,,,,,,,,,
372,12.4000,,,,,,,,,,,
373,12.4333,,,,,,,,,,,
374,12.4667,,,,,,,,,,,
375,12.5000,,,,,,,,,,,
376,12.5333,,,,,,,,,,,
377,12.5667,,,,,,,,,,,
378,12.6000,,,,,,,,,,,
379,12.6333,332,716,28,-1.210000,1.398571,3.658308,4.099186,-0.129379,-0.047747,-0.137911,0.195034
380,12.6667,366,704,33,-0.913333,1.146667,3.104019,3.432777,8.900000,-7.557143,-16.628675,20.318298
381,12.7000,382,697,40,-0.709500,0.926750,2.560816,2.814255,6.115000,-6.597500,-16.296101,18.614058
382,12.7333,391,693,44,-0.622500,0.832500,2.328014,2.549552,2.610000,-2.827500,-6.984043,7.973940
383,12.7667,407,681,47,-0.545319,0.751277,2.179418,2.368892,2.315426,-2.436702,-4.457900,5.583152
