frame_idx,time_s,u_px,v_px,r_px,X_m,Y_m,Z_m,distance_m
394,13.1333,558,536,35,-0.257714,0.553143,2.926647,2.989589
395,13.1667,569,526,34,-0.229706,0.537059,3.012725,3.068828
396,13.2000,579,516,34,-0.197353,0.504706,3.012725,3.061076
397,13.2333,588,507,33,-0.173333,0.490000,3.104019,3.147234
398,13.2667,597,497,32,-0.147812,0.470937,3.201020,3.238851
399,13.3000,607,489,32,-0.113437,0.443437,3.201020,3.233579
400,13.3333,614,480,31,-0.092258,0.425806,3.304279,3.332879
401,13.3667,622,472,30,-0.066000,0.410667,3.414421,3.439662
402,13.4000,630,466,30,-0.036667,0.388667,3.414421,3.436667
403,13.4333,638,459,30,-0.007333,0.363000,3.414421,3.433671
404,13.4667,646,452,29,0.022759,0.348966,3.532160,3.549429
405,13.5000,654,445,29,0.053103,0.322414,3.532160,3.547242
406,13.5333,660,439,28,0.078571,0.310357,3.658308,3.672290
407,13.5667,667,433,28,0.106071,0.286786,3.658308,3.671065
408,13.6000,674,426,27,0.138519,0.268889,3.793801,3.805840
409,13.6333,680,419,27,0.162963,0.240370,3.793801,3.804900
410,13.6667,687,415,26,0.198846,0.232692,3.939717,3.951589
411,13.7000,693,409,26,0.224231,0.207308,3.939717,3.951534
412,13.7333,699,404,26,0.249615,0.186154,3.939717,3.952003
413,13.7667,704,398,25,0.281600,0.167200,4.097305,4.110373
414,13.8000,710,393,25,0.308000,0.145200,4.097305,4.111430
415,13.8333,715,388,25,0.330000,0.123200,4.097305,4.112419
416,13.8667,720,384,25,0.352000,0.105600,4.097305,4.113753
417,13.9000,726,378,24,0.394167,0.082500,4.268026,4.286983
418,13.9333,731,374,24,0.417083,0.064167,4.268026,4.288837
419,13.9667,735,370,24,0.435417,0.045833,4.268026,4.290424
420,14.0000,740,364,23,0.478261,0.019130,4.453593,4.479240
421,14.0333,745,362,23,0.502174,0.009565,4.453593,4.481825
422,14.0667,750,357,23,0.526087,-0.014348,4.453593,4.484581
423,14.1000,753,353,23,0.540435,-0.033478,4.453593,4.486388
424,14.1333,759,349,23,0.569130,-0.052609,4.453593,4.490119
425,14.1667,762,346,22,0.610000,-0.070000,4.656029,4.696340
426,14.2000,766,341,22,0.630000,-0.095000,4.656029,4.699418
427,14.2333,770,338,22,0.650000,-0.110000,4.656029,4.702468
428,14.2667,774,334,22,0.670000,-0.130000,4.656029,4.705784
429,14.3000,778,331,21,0.722857,-0.151905,4.877745,4.933355
430,14.3333,782,327,21,0.743810,-0.172857,4.877745,4.937157
431,14.3667,785,324,21,0.759524,-0.188571,4.877745,4.940124
432,14.4000,789,321,20,0.819500,-0.214500,5.121632,5.191214
433,14.4333,791,317,20,0.830500,-0.236500,5.121632,5.193917
434,14.4667,795,313,20,0.852500,-0.258500,5.121632,5.198528
435,14.5000,799,311,20,0.874500,-0.269500,5.121632,5.202739
436,14.5333,802,309,20,0.891000,-0.280500,5.121632,5.206119
437,14.5667,806,306,20,0.913000,-0.297000,5.121632,5.210844
438,14.6000,808,303,20,0.924000,-0.313500,5.121632,5.213748
439,14.6333,811,299,20,0.940500,-0.335500,5.121632,5.218066
440,14.6667,815,297,20,0.962500,-0.346500,5.121632,5.222794
441,14.7000,818,295,20,0.979000,-0.357500,5.121632,5.226601
442,14.7333,820,292,19,1.042105,-0.393684,5.391191,5.505081
443,14.7667,823,289,19,1.059474,-0.411053,5.391191,5.509664
444,14.8000,828,289,19,1.088421,-0.411053,5.391191,5.515303
445,14.8333,830,285,19,1.100000,-0.434211,5.391191,5.519373
446,14.8667,831,282,19,1.105789,-0.451579,5.391191,5.521923
447,14.9000,834,280,18,1.185556,-0.488889,5.690702,5.833408
448,14.9333,838,279,19,1.146316,-0.468947,5.391191,5.531627
449,14.9667,840,275,18,1.222222,-0.519444,5.690702,5.843607
450,15.0000,841,273,18,1.228333,-0.531667,5.690702,5.845987
451,15.0333,844,269,18,1.246667,-0.556111,5.690702,5.852139
452,15.0667,848,270,18,1.271111,-0.550000,5.690702,5.856818
453,15.1000,850,267,18,1.283333,-0.568333,5.690702,5.861232
454,15.1333,852,266,17,1.371765,-0.608235,6.025449,6.209487
455,15.1667,853,263,18,1.301667,-0.592778,5.690702,5.867692
456,15.2000,855,261,18,1.313889,-0.605000,5.690702,5.871662
457,15.2333,857,257,17,1.404118,-0.666471,6.025449,6.222682
458,15.2667,860,258,18,1.344444,-0.623333,5.690702,5.880490
459,15.3000,863,255,17,1.442941,-0.679412,6.025449,6.232954
460,15.3333,863,252,17,1.442941,-0.698824,6.025449,6.235100
461,15.3667,866,252,17,1.462353,-0.698824,6.025449,6.239621
